Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%),Unique viewers,Subscribers gained,Subscribers lost,Likes,Comments added,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
bPyPY2Me58w,Kartik Aryan can eat Chole bhature all day😋🔥 #food #kartikaaryan #shortsvideo  #shorts,"Oct 23, 2024",15,0:00:13,88.83,,1,0,31,0,1993,5.0021,1,8577,5.06
f-yX8nOIFQc,Flaxseeds dry chutney ✨#shorts  #food flaxseeds chutney powder alsi ki chutney recipe,"Jan 17, 2024",47,0:00:28,60.92,,8,0,21,0,1317,10.1874,8,8604,3.51
XUmvdfKBme4,Kamala Harris cooks dosa✨🔥#shorts#kamalaharris #mindykaling#masaladosa,"Jul 25, 2024",39,0:00:21,54.95,,1,1,28,1,1235,6.9435,0,12233,2.35
jD5kS-PavDs,Yellow chutney with Spongy dhokla#healthierecipes24 #shorts #yellowchutney,"Dec 13, 2025",59,0:00:29,49.38,,1,0,36,2,2271,9.5898,1,587,3.24
qD3UDmqRwLo,make dry fruits at home#healthierecipes24 #shorts,"Apr 7, 2025",68,0:00:42,62.84,,0,0,36,0,2103,13.0625,0,6141,3.44
vnL3pJFZkUc,Malaika Arora eats food in a bowl✨#healthierecipes24 #shorts,"Mar 15, 2025",50,0:00:19,39.06,,1,0,19,0,1087,5.6936,1,2633,5.28
J7OjJZXvOG0,"Shaheer Sheikh "" #dopatti "" movie star loves to eat.....    #shortvideo #food #rajmachawal","Nov 7, 2024",10,0:00:09,99.36,,1,0,24,0,1357,3.0494,1,5983,5.2
gimTJNyKGVM,Shalini Passi is Truly the Queen! #shalinipassi #food #soup #healthierecipes24 #shorts,"Dec 16, 2024",52,0:00:18,34.64,,3,1,18,0,1046,5.1496,2,2437,5.09
1meLQx2MTRQ,Chashni puri✨ #rakshabandhan  #puri #food #recipe #shortsfeed,"Aug 9, 2024",59,0:00:28,47.51,,4,0,14,1,1024,7.9363,4,2639,0.68
2EQV2COxfao,The Untold Story of Mukesh Ambani and Bhajiya#ambani #shorts ambani wedding,"Jul 16, 2024",49,0:00:20,42.81,,2,0,19,0,1049,6.0186,2,2044,5.82
5Wm1WC8HPes,Navratri Vrat Thali #vratthali #navratrispecial #food #recipe #easythali #shorts #ytshorts,"Sep 20, 2024",50,0:00:22,45.1,,4,0,28,0,1053,6.4889,4,9275,3.87
